,Unnamed: 0,period_begin,period_end,table_id,region,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code
19661,19661,2012-01-01,2012-01-31,11900,"Athens, OH metro area",OH,All Residential,-1,9499.0,-0.9472277777777776,-0.9120462962962964,84900.0,5.064285714285713,-0.4690431519699812,4.63818359375,2.892456378761163,-0.3664350781535518,57.82725947521865,-0.0969896344302373,0.2245772594752186,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,-0.1428571428571429,0.1999999999999999,12.0,-2.0,2.0,46.0,-123.0,-560.0,0.9499,-0.0501,0.0099522193211487,0.0,0.0,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19662,19662,2012-02-01,2012-02-29,11900,"Athens, OH metro area",OH,All Residential,-1,30800.0,2.242446573323508,-0.4188679245283019,79339.0,-0.0655005889281508,0.1334142857142857,18.05392731535756,2.892456378761163,-0.3664350781535518,57.82725947521865,-0.0969896344302373,0.2245772594752186,1.0,0.0,-0.75,1.0,0.0,-0.6666666666666667,5.0,4.0,1.5,16.0,0.3333333333333332,0.6,16.0,4.0,13.5,114.0,68.0,66.0,0.5601833327270743,-0.3897166672729256,-0.3501654308008836,0.0,0.0,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19663,19663,2012-03-01,2012-03-31,11900,"Athens, OH metro area",OH,All Residential,-1,69500.0,1.2564935064935066,0.0220588235294116,134950.0,0.7009289252448354,-0.2498610339077265,53.33120476798638,1.9539946537072967,-0.3664350781535518,52.21861471861472,-0.0969896344302373,-0.3225476860102828,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-0.5999999999999999,-0.5999999999999999,13.0,-0.1875,0.0,6.5,-9.5,-6.5,101.0,-13.0,-567.0,0.8958708979444645,0.3356875652173901,0.0340204543449714,0.0,0.0,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19664,19664,2012-04-01,2012-04-30,11900,"Athens, OH metro area",OH,All Residential,-1,100000.0,0.4388489208633092,-0.408284023668639,65650.0,-0.5135235272323082,-0.4138392857142857,46.109693877551024,-0.1354087334394943,-0.4461379966187657,45.130240130240125,-0.135744209733847,-0.3225476860102828,5.0,1.5,4.0,5.0,1.5,1.0,2.0,0.0,1.0,11.0,-0.1538461538461538,-0.2142857142857143,2.2,-4.3,-11.8,147.0,46.0,-34.0,0.8966119686513758,0.0007410707069113,0.0343670706921921,0.2,0.2,0.2,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19665,19665,2012-05-01,2012-05-31,11900,"Athens, OH metro area",OH,All Residential,-1,34500.0,-0.655,-0.7999420121774427,76400.0,0.1637471439451636,-0.473103448275862,33.23699421965318,-0.2791755610454194,-0.5577022559096737,7.072368421052632,-0.8432898118724235,-0.8879851143009037,3.0,-0.4,0.5,3.0,-0.4,2.0,2.0,0.0,-0.5,11.0,0.0,-0.2666666666666667,3.7,1.5,-3.8,178.0,31.0,51.0,0.9644811268294822,0.0678691581781064,0.0035872720808789,0.0,-0.2,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19666,19666,2012-06-01,2012-06-30,11900,"Athens, OH metro area",OH,All Residential,-1,8411.0,-0.7562028985507246,-0.9234667879890808,68000.0,-0.1099476439790575,-0.6894977168949771,8.0875,-0.7566717391304347,-0.5577022559096737,62.27106227106227,7.804838572280433,-0.5046749293324635,1.0,-0.6666666666666667,0.0,1.0,-0.6666666666666667,0.0,1.0,-0.5,-0.6666666666666667,10.0,-0.0909090909090909,-0.3333333333333333,10.0,6.3,-5.0,62.0,-116.0,17.0,0.7378070175438596,-0.2266741092856225,-0.2434429824561402,0.0,0.0,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19667,19667,2012-07-01,2012-07-31,11900,"Athens, OH metro area",OH,All Residential,-1,10250.0,0.2186422541909405,-0.9234667879890808,9075.0,-0.8665441176470589,-0.6894977168949771,7.046738200664184,-0.1286877031636248,-0.5577022559096737,7.26963548593791,-0.8832582066081734,-0.5046749293324635,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,-0.6666666666666667,11.0,0.1,-0.3333333333333333,5.5,-4.5,-5.0,18.0,-44.0,17.0,0.9399224806201552,0.2021154630762954,-0.2434429824561402,0.5,0.5,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,0.0,"Athens, OH",11900
19668,19668,2012-08-01,2012-08-31,11900,"Athens, OH metro area",OH,All Residential,-1,72000.0,6.024390243902439,-0.7422126745435015,184000.0,19.27548209366391,-0.1175059952038369,52.47813411078717,6.4471525145975885,-0.6099369623559106,92.45877339262552,11.718488233897563,0.0225313498082737,1.0,-0.5,0.0,1.0,-0.5,0.0,5.0,1.5,-0.1666666666666666,14.0,0.2727272727272727,-0.3,14.0,8.5,-6.0,192.0,174.0,17.0,0.9074982039098048,-0.0324242767103504,-0.0266155084647772,0.0,-0.5,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,0.0,-1.0,"Athens, OH",11900
19669,19669,2012-09-01,2012-09-30,11900,"Athens, OH metro area",OH,All Residential,-1,135000.0,0.875,-0.7422126745435015,60000.0,-0.6739130434782608,-0.1175059952038369,65.83248108048542,0.2544745005892499,-0.6099369623559106,33.53828954723309,-0.6372622270813286,0.0225313498082737,3.0,2.0,0.0,3.0,2.0,0.0,1.0,-0.8,-0.1666666666666666,12.0,-0.1428571428571429,-0.3,4.0,-10.0,-6.0,115.0,-77.0,17.0,0.9883249940433644,0.0808267901335596,-0.0266155084647772,0.0,0.0,0.0,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.3333333333333333,0.3333333333333333,-1.0,"Athens, OH",11900
19670,19670,2012-10-01,2012-10-31,11900,"Athens, OH metro area",OH,All Residential,-1,110000.0,-0.1851851851851852,-0.0051551053631183,13250.0,-0.7791666666666666,-0.8447368729420311,72.75132275132273,0.1050976897312816,-0.0515610460604438,6.510416666666667,-0.8058810763888888,-0.8291993491321763,3.0,0.0,0.5,3.0,0.0,0.5,2.0,1.0,-0.5999999999999999,11.0,-0.0833333333333333,-0.5,3.7,-0.2999999999999998,-7.3,178.0,63.0,94.0,0.9609072167576828,-0.0274177772856813,0.0348014993898296,0.0,0.0,-0.5,0.0714285714285714,0.1137566137566137,0.2085714285714286,0.0,-0.3333333333333333,0.0,"Athens, OH",11900
